optimal_tour,optimal_tour_length,greedy_tour,greedy_tour_length,score,time
"{1, 5, 11, 2, 4, 18, 12, 19, 15, 9, 16, 3, 6, 14, 20, 13, 17, 7, 8, 10, 1}",4.160736,"{1, 4, 18, 12, 3, 6, 14, 16, 9, 15, 19, 2, 11, 5, 10, 8, 7, 20, 13, 17, 1}",4.749121,0.141414,0.000143
"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,"{1, 19, 16, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 12, 15, 11, 20, 2, 13, 1}",5.014594,0.260232,0.000154
"{1, 13, 2, 14, 10, 17, 19, 4, 16, 9, 5, 3, 12, 6, 11, 20, 18, 15, 7, 8, 1}",4.780822,"{1, 17, 14, 10, 19, 4, 16, 8, 7, 15, 18, 20, 11, 6, 9, 5, 3, 12, 13, 2, 1}",5.533598,0.157457,0.000124
"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,"{1, 11, 10, 19, 6, 8, 2, 5, 20, 13, 14, 16, 7, 15, 4, 12, 17, 3, 18, 9, 1}",4.888353,0.198469,0.000124
"{1, 16, 20, 18, 4, 12, 19, 14, 17, 13, 6, 5, 8, 7, 2, 11, 9, 10, 15, 3, 1}",4.262625,"{1, 15, 3, 20, 18, 8, 5, 6, 13, 17, 14, 4, 12, 19, 2, 7, 11, 9, 10, 16, 1}",4.875918,0.143877,0.000124
"{1, 14, 19, 5, 8, 18, 17, 9, 16, 20, 10, 6, 13, 15, 7, 3, 11, 12, 2, 4, 1}",3.456365,"{1, 19, 8, 18, 17, 9, 16, 7, 5, 4, 2, 12, 11, 3, 15, 13, 6, 10, 20, 14, 1}",4.635881,0.341259,0.000136
"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,"{1, 15, 9, 4, 7, 2, 6, 19, 13, 12, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",4.338717,0.094430,0.000122
"{1, 17, 9, 10, 5, 18, 3, 13, 6, 19, 16, 8, 12, 7, 14, 11, 20, 15, 4, 2, 1}",4.004752,"{1, 2, 4, 15, 20, 7, 14, 11, 18, 13, 3, 6, 19, 16, 8, 12, 9, 10, 5, 17, 1}",4.328612,0.080869,0.000152
"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 4, 2, 6, 13, 17, 18, 9, 14, 1}",3.743971,0.107016,0.000188
"{1, 11, 19, 16, 18, 6, 14, 9, 13, 5, 12, 15, 3, 17, 4, 7, 20, 8, 10, 2, 1}",3.972566,"{1, 2, 10, 12, 5, 13, 9, 3, 15, 17, 4, 8, 20, 7, 11, 19, 14, 6, 18, 16, 1}",4.503333,0.133608,0.000124
"{1, 4, 14, 12, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 1}",4.439022,"{1, 4, 14, 16, 10, 6, 2, 12, 15, 7, 5, 19, 17, 3, 13, 18, 11, 9, 8, 20, 1}",5.330142,0.200747,0.000123
"{1, 13, 9, 11, 7, 6, 15, 2, 4, 18, 17, 5, 8, 19, 14, 12, 20, 10, 16, 3, 1}",3.491404,"{1, 3, 20, 12, 14, 10, 16, 19, 8, 5, 17, 18, 4, 2, 15, 6, 7, 11, 9, 13, 1}",3.687649,0.056208,0.000121
"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,"{1, 10, 2, 14, 18, 15, 19, 11, 7, 3, 9, 13, 6, 20, 16, 8, 5, 4, 12, 17, 1}",4.380608,0.108094,0.000123
"{1, 3, 16, 11, 10, 12, 20, 5, 14, 17, 7, 2, 15, 18, 9, 6, 4, 13, 19, 8, 1}",3.780954,"{1, 8, 13, 19, 4, 6, 2, 7, 17, 15, 18, 9, 14, 5, 20, 12, 10, 11, 16, 3, 1}",4.053897,0.072189,0.000149
"{1, 10, 8, 13, 11, 19, 3, 6, 5, 9, 12, 18, 15, 2, 16, 7, 20, 17, 14, 4, 1}",3.371196,"{1, 4, 14, 17, 20, 7, 16, 2, 15, 18, 12, 5, 6, 3, 19, 11, 8, 13, 9, 10, 1}",4.162609,0.234757,0.000125
"{1, 13, 2, 11, 12, 8, 15, 7, 19, 9, 4, 20, 16, 10, 5, 6, 18, 14, 3, 17, 1}",3.770459,"{1, 13, 2, 11, 12, 8, 16, 15, 7, 19, 9, 20, 4, 10, 5, 6, 18, 14, 3, 17, 1}",3.957835,0.049696,0.000121
"{1, 10, 6, 8, 16, 20, 3, 11, 4, 14, 17, 15, 19, 12, 2, 5, 9, 13, 18, 7, 1}",4.074657,"{1, 10, 16, 20, 8, 6, 3, 11, 4, 14, 17, 15, 19, 12, 5, 2, 13, 9, 18, 7, 1}",4.311678,0.058170,0.000125
"{1, 8, 14, 20, 7, 10, 16, 5, 6, 18, 4, 15, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.231835,"{1, 8, 20, 14, 7, 10, 5, 6, 18, 4, 15, 16, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.396838,0.051056,0.000140
"{1, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 14, 19, 11, 18, 6, 1}",3.806571,"{1, 14, 19, 11, 18, 6, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 12, 13, 1}",3.925058,0.031127,0.000119
"{1, 14, 3, 17, 7, 5, 2, 18, 6, 4, 9, 11, 20, 16, 13, 15, 12, 10, 19, 8, 1}",3.555058,"{1, 14, 19, 8, 10, 12, 15, 13, 16, 20, 11, 9, 4, 6, 7, 3, 17, 5, 2, 18, 1}",4.122576,0.159637,0.000122
"{1, 18, 10, 3, 20, 7, 12, 13, 17, 4, 9, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.685515,"{1, 18, 10, 3, 20, 7, 9, 4, 17, 13, 12, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.837729,0.041300,0.000121
"{1, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 10, 1}",3.634190,"{1, 3, 10, 5, 12, 16, 18, 4, 6, 14, 2, 9, 19, 11, 7, 8, 20, 15, 13, 17, 1}",3.873802,0.065933,0.000125
"{1, 19, 16, 17, 8, 7, 14, 6, 12, 15, 10, 20, 11, 9, 5, 13, 3, 4, 2, 18, 1}",4.026299,"{1, 19, 18, 16, 17, 8, 7, 14, 6, 12, 10, 20, 11, 9, 5, 3, 13, 15, 2, 4, 1}",4.631312,0.150265,0.000123
"{1, 19, 20, 12, 9, 10, 14, 8, 16, 2, 13, 4, 6, 17, 3, 18, 5, 7, 15, 11, 1}",3.557369,"{1, 11, 15, 7, 5, 18, 3, 13, 4, 6, 17, 14, 8, 2, 16, 10, 9, 12, 20, 19, 1}",3.852521,0.082969,0.000122
"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,"{1, 10, 8, 13, 6, 3, 9, 7, 15, 11, 18, 14, 12, 2, 5, 17, 19, 20, 16, 4, 1}",3.688129,0.052945,0.000142
"{1, 7, 13, 4, 5, 6, 15, 19, 9, 12, 17, 18, 20, 10, 8, 2, 14, 11, 16, 3, 1}",3.979385,"{1, 3, 16, 11, 6, 2, 14, 8, 10, 20, 18, 17, 12, 9, 15, 19, 4, 13, 5, 7, 1}",4.821150,0.211532,0.000148
"{1, 16, 10, 8, 17, 9, 3, 2, 14, 4, 12, 6, 18, 19, 5, 11, 7, 20, 15, 13, 1}",3.989491,"{1, 13, 15, 20, 4, 12, 14, 2, 3, 6, 18, 19, 5, 11, 7, 17, 8, 9, 16, 10, 1}",4.638642,0.162715,0.000147
"{1, 6, 7, 13, 4, 11, 8, 18, 2, 12, 5, 16, 15, 10, 14, 9, 3, 19, 17, 20, 1}",3.445786,"{1, 20, 11, 4, 8, 18, 2, 5, 12, 9, 14, 16, 15, 10, 3, 19, 17, 13, 7, 6, 1}",3.887305,0.128133,0.000122
"{1, 3, 2, 15, 4, 10, 11, 14, 19, 8, 20, 12, 7, 6, 17, 13, 9, 16, 5, 18, 1}",4.204516,"{1, 18, 5, 16, 9, 13, 7, 12, 6, 17, 20, 8, 14, 19, 11, 10, 4, 15, 2, 3, 1}",4.491158,0.068175,0.000131
"{1, 6, 7, 20, 11, 15, 10, 2, 9, 13, 18, 16, 5, 14, 8, 17, 12, 4, 3, 19, 1}",4.102246,"{1, 19, 20, 7, 11, 9, 13, 16, 18, 5, 2, 15, 10, 8, 17, 12, 3, 4, 14, 6, 1}",5.135032,0.251761,0.000125
"{1, 3, 17, 15, 18, 7, 14, 8, 5, 13, 12, 6, 2, 16, 10, 20, 11, 19, 4, 9, 1}",4.085589,"{1, 9, 19, 11, 20, 10, 16, 6, 2, 12, 13, 5, 8, 14, 7, 18, 15, 3, 17, 4, 1}",4.207804,0.029914,0.000118
"{1, 14, 5, 12, 20, 16, 3, 15, 7, 10, 2, 19, 8, 18, 4, 9, 17, 11, 13, 6, 1}",3.822300,"{1, 6, 13, 9, 4, 18, 11, 17, 8, 19, 2, 10, 15, 7, 16, 20, 3, 12, 5, 14, 1}",4.009407,0.048951,0.000122
"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 11, 4, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.288945,0.003214,0.000127
"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,"{1, 14, 5, 12, 16, 2, 18, 3, 15, 17, 11, 9, 10, 4, 13, 7, 8, 6, 20, 19, 1}",4.453018,0.145508,0.000124
"{1, 17, 13, 6, 8, 12, 20, 5, 7, 15, 19, 18, 14, 3, 10, 16, 11, 4, 9, 2, 1}",4.029413,"{1, 13, 17, 8, 6, 18, 19, 15, 7, 20, 12, 5, 14, 3, 10, 16, 9, 4, 11, 2, 1}",4.419336,0.096769,0.000123
"{1, 18, 12, 19, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 7, 3, 5, 1}",4.105566,"{1, 5, 3, 7, 13, 16, 14, 11, 2, 20, 10, 17, 6, 8, 9, 4, 15, 18, 19, 12, 1}",4.227777,0.029767,0.000122
"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 6, 11, 12, 14, 7, 20, 13, 1}",3.967801,"{1, 13, 2, 9, 3, 18, 5, 8, 10, 19, 15, 17, 12, 14, 11, 6, 7, 20, 4, 16, 1}",4.958186,0.249605,0.000124
"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 9, 14, 20, 13, 16, 4, 12, 3, 1}",3.466249,"{1, 8, 3, 17, 18, 7, 2, 10, 5, 15, 6, 19, 11, 14, 20, 9, 12, 4, 16, 13, 1}",4.038799,0.165179,0.000132
"{1, 12, 18, 4, 20, 5, 2, 9, 15, 10, 13, 17, 19, 11, 8, 7, 3, 14, 6, 16, 1}",4.795065,"{1, 16, 12, 4, 18, 2, 5, 20, 10, 17, 13, 19, 15, 9, 11, 8, 7, 3, 6, 14, 1}",5.427307,0.131852,0.000124
"{1, 15, 14, 13, 19, 18, 16, 17, 2, 20, 7, 10, 8, 3, 6, 11, 9, 12, 4, 5, 1}",3.469141,"{1, 5, 4, 12, 9, 16, 17, 18, 7, 20, 2, 3, 8, 6, 11, 10, 19, 13, 14, 15, 1}",4.128410,0.190038,0.000125
"{1, 12, 14, 7, 5, 8, 10, 9, 4, 18, 6, 11, 2, 15, 3, 17, 20, 19, 16, 13, 1}",3.482816,"{1, 13, 16, 19, 17, 20, 3, 15, 2, 11, 18, 6, 4, 9, 14, 7, 5, 8, 10, 12, 1}",3.665681,0.052505,0.000121
"{1, 5, 17, 20, 10, 7, 8, 6, 9, 18, 15, 11, 4, 12, 3, 14, 19, 13, 16, 2, 1}",3.536839,"{1, 5, 2, 17, 20, 10, 7, 15, 18, 3, 14, 19, 13, 16, 12, 4, 11, 9, 6, 8, 1}",4.211565,0.190771,0.000124
"{1, 18, 14, 16, 9, 8, 4, 13, 20, 12, 3, 17, 5, 7, 11, 6, 10, 19, 2, 15, 1}",3.943122,"{1, 14, 18, 16, 10, 6, 3, 12, 20, 13, 4, 8, 9, 17, 5, 11, 7, 19, 2, 15, 1}",4.288235,0.087523,0.000122
"{1, 2, 17, 3, 7, 6, 8, 16, 14, 4, 9, 20, 13, 15, 18, 10, 12, 11, 19, 5, 1}",3.248978,"{1, 5, 19, 11, 12, 10, 18, 15, 13, 20, 9, 4, 14, 6, 7, 8, 16, 3, 17, 2, 1}",3.345127,0.029594,0.000123
"{1, 20, 2, 19, 15, 10, 13, 18, 4, 16, 9, 14, 11, 7, 8, 12, 3, 17, 5, 6, 1}",3.764408,"{1, 6, 5, 17, 3, 12, 8, 7, 11, 9, 13, 16, 4, 18, 10, 15, 19, 14, 2, 20, 1}",3.884972,0.032027,0.000122
