optimal_tour,optimal_tour_length,2opt_tour,2opt_tour_length,score,time
"{1, 5, 11, 2, 4, 18, 12, 19, 15, 9, 16, 3, 6, 14, 20, 13, 17, 7, 8, 10, 1}",4.160736,"{1, 5, 4, 18, 12, 3, 6, 16, 14, 9, 15, 19, 2, 11, 8, 7, 20, 13, 17, 10, 1}",4.358491,0.047529,0.000304
"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,"{1, 19, 13, 2, 18, 8, 14, 10, 6, 9, 5, 16, 11, 12, 15, 4, 7, 17, 3, 20, 1}",4.198390,0.055110,0.000916
"{1, 13, 2, 14, 10, 17, 19, 4, 16, 9, 5, 3, 12, 6, 11, 20, 18, 15, 7, 8, 1}",4.780822,"{1, 2, 14, 10, 17, 4, 19, 3, 12, 11, 6, 9, 5, 16, 20, 18, 13, 15, 7, 8, 1}",5.208660,0.089490,0.000749
"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,0.000000,0.000531
"{1, 16, 20, 18, 4, 12, 19, 14, 17, 13, 6, 5, 8, 7, 2, 11, 9, 10, 15, 3, 1}",4.262625,"{1, 3, 15, 16, 10, 9, 11, 2, 7, 8, 5, 6, 13, 17, 14, 4, 18, 20, 12, 19, 1}",4.757265,0.116041,0.000264
"{1, 14, 19, 5, 8, 18, 17, 9, 16, 20, 10, 6, 13, 15, 7, 3, 11, 12, 2, 4, 1}",3.456365,"{1, 19, 5, 8, 18, 17, 9, 16, 14, 20, 10, 6, 13, 15, 7, 3, 11, 12, 2, 4, 1}",3.481752,0.007345,0.000934
"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,"{1, 15, 3, 16, 11, 17, 18, 10, 8, 20, 9, 4, 7, 2, 19, 6, 13, 12, 14, 5, 1}",4.017825,0.013486,0.000435
"{1, 17, 9, 10, 5, 18, 3, 13, 6, 19, 16, 8, 12, 7, 14, 11, 20, 15, 4, 2, 1}",4.004752,"{1, 2, 4, 15, 20, 11, 14, 7, 16, 19, 6, 13, 3, 18, 8, 12, 9, 10, 5, 17, 1}",4.226725,0.055427,0.000484
"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,0.000000,0.000565
"{1, 11, 19, 16, 18, 6, 14, 9, 13, 5, 12, 15, 3, 17, 4, 7, 20, 8, 10, 2, 1}",3.972566,"{1, 5, 12, 15, 3, 17, 4, 7, 20, 8, 10, 2, 11, 19, 16, 18, 6, 14, 9, 13, 1}",4.193192,0.055537,0.000435
"{1, 4, 14, 12, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 1}",4.439022,"{1, 4, 14, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 12, 1}",4.518215,0.017840,0.000335
"{1, 13, 9, 11, 7, 6, 15, 2, 4, 18, 17, 5, 8, 19, 14, 12, 20, 10, 16, 3, 1}",3.491404,"{1, 3, 16, 19, 10, 20, 12, 14, 8, 5, 17, 18, 4, 2, 15, 6, 7, 11, 9, 13, 1}",3.529119,0.010802,0.000717
"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,"{1, 17, 12, 4, 5, 8, 20, 16, 7, 3, 9, 6, 13, 11, 19, 14, 18, 15, 2, 10, 1}",3.953280,0.000000,0.000646
"{1, 3, 16, 11, 10, 12, 20, 5, 14, 17, 7, 2, 15, 18, 9, 6, 4, 13, 19, 8, 1}",3.780954,"{1, 8, 19, 13, 4, 6, 9, 14, 5, 20, 12, 10, 11, 17, 15, 18, 2, 7, 16, 3, 1}",4.025196,0.064598,0.000470
"{1, 10, 8, 13, 11, 19, 3, 6, 5, 9, 12, 18, 15, 2, 16, 7, 20, 17, 14, 4, 1}",3.371196,"{1, 10, 8, 13, 11, 19, 9, 5, 12, 18, 15, 2, 16, 7, 20, 17, 6, 3, 4, 14, 1}",3.553284,0.054013,0.000679
"{1, 13, 2, 11, 12, 8, 15, 7, 19, 9, 4, 20, 16, 10, 5, 6, 18, 14, 3, 17, 1}",3.770459,"{1, 13, 2, 11, 12, 8, 15, 7, 19, 9, 4, 20, 10, 5, 6, 18, 14, 3, 17, 16, 1}",3.770554,0.000025,0.000779
"{1, 10, 6, 8, 16, 20, 3, 11, 4, 14, 17, 15, 19, 12, 2, 5, 9, 13, 18, 7, 1}",4.074657,"{1, 10, 8, 6, 16, 20, 3, 11, 4, 14, 17, 15, 19, 12, 2, 5, 9, 13, 18, 7, 1}",4.072871,-0.000438,0.001220
"{1, 8, 14, 20, 7, 10, 16, 5, 6, 18, 4, 15, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.231835,"{1, 8, 14, 20, 7, 10, 16, 5, 6, 18, 4, 15, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.231835,0.000000,0.000375
"{1, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 14, 19, 11, 18, 6, 1}",3.806571,"{1, 14, 19, 11, 18, 6, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 1}",3.865035,0.015359,0.000371
"{1, 14, 3, 17, 7, 5, 2, 18, 6, 4, 9, 11, 20, 16, 13, 15, 12, 10, 19, 8, 1}",3.555058,"{1, 8, 19, 10, 12, 15, 13, 16, 20, 11, 9, 4, 6, 7, 18, 2, 5, 17, 3, 14, 1}",3.593291,0.010754,0.000551
"{1, 18, 10, 3, 20, 7, 12, 13, 17, 4, 9, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.685515,"{1, 18, 10, 3, 20, 7, 12, 13, 17, 4, 9, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.685515,0.000000,0.000387
"{1, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 10, 1}",3.634190,"{1, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 10, 1}",3.634190,0.000000,0.000332
"{1, 19, 16, 17, 8, 7, 14, 6, 12, 15, 10, 20, 11, 9, 5, 13, 3, 4, 2, 18, 1}",4.026299,"{1, 19, 15, 16, 17, 8, 7, 14, 6, 12, 10, 20, 11, 9, 5, 13, 3, 4, 2, 18, 1}",4.152458,0.031334,0.000375
"{1, 19, 20, 12, 9, 10, 14, 8, 16, 2, 13, 4, 6, 17, 3, 18, 5, 7, 15, 11, 1}",3.557369,"{1, 11, 15, 7, 5, 18, 3, 4, 13, 2, 16, 8, 6, 17, 14, 10, 9, 12, 20, 19, 1}",3.650352,0.026138,0.000594
"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,0.000000,0.000361
"{1, 7, 13, 4, 5, 6, 15, 19, 9, 12, 17, 18, 20, 10, 8, 2, 14, 11, 16, 3, 1}",3.979385,"{1, 3, 16, 11, 14, 2, 8, 10, 20, 18, 17, 12, 9, 19, 15, 6, 5, 4, 13, 7, 1}",3.979384,0.000000,0.000686
"{1, 16, 10, 8, 17, 9, 3, 2, 14, 4, 12, 6, 18, 19, 5, 11, 7, 20, 15, 13, 1}",3.989491,"{1, 13, 15, 20, 7, 11, 5, 19, 18, 6, 12, 4, 14, 2, 3, 9, 17, 8, 10, 16, 1}",3.989491,0.000000,0.000741
