optimal_tour,optimal_tour_length,threshold_accepting_tour,threshold_accepting_tour_length,score,time
"{1, 10, 4, 3, 2, 5, 6, 7, 9, 8, 1}",2.587924,"{1, 8, 9, 7, 6, 5, 2, 3, 4, 10, 1}",2.587924,0.000000,0.033003
"{1, 6, 7, 9, 10, 2, 5, 8, 3, 4, 1}",3.743237,"{1, 4, 3, 8, 5, 2, 10, 9, 7, 6, 1}",3.743237,0.000000,0.033412
"{1, 8, 10, 7, 9, 4, 3, 2, 6, 5, 1}",3.135972,"{1, 8, 10, 7, 9, 4, 3, 2, 6, 5, 1}",3.135972,0.000000,0.032985
"{1, 5, 7, 10, 2, 9, 4, 8, 6, 3, 1}",2.303661,"{1, 5, 7, 10, 2, 9, 4, 8, 6, 3, 1}",2.303661,0.000000,0.033156
"{1, 6, 2, 10, 5, 7, 8, 3, 4, 9, 1}",3.109025,"{1, 9, 4, 3, 8, 7, 5, 10, 2, 6, 1}",3.109025,0.000000,0.033039
"{1, 2, 3, 9, 7, 5, 8, 10, 4, 6, 1}",2.837561,"{1, 2, 3, 9, 7, 5, 8, 10, 4, 6, 1}",2.837561,0.000000,0.032941
"{1, 5, 8, 10, 3, 9, 6, 7, 4, 2, 1}",3.007583,"{1, 5, 8, 10, 3, 9, 6, 7, 4, 2, 1}",3.007583,0.000000,0.032260
"{1, 9, 3, 8, 4, 10, 2, 6, 7, 5, 1}",2.624140,"{1, 9, 3, 8, 4, 10, 2, 6, 7, 5, 1}",2.624140,0.000000,0.032600
"{1, 9, 4, 8, 6, 2, 3, 10, 7, 5, 1}",2.531933,"{1, 5, 7, 10, 3, 2, 6, 8, 4, 9, 1}",2.531933,0.000000,0.031846
"{1, 10, 5, 6, 3, 9, 7, 8, 2, 4, 1}",2.656223,"{1, 4, 2, 8, 7, 9, 3, 6, 5, 10, 1}",2.656222,0.000000,0.032603
"{1, 5, 4, 10, 9, 3, 6, 8, 7, 2, 1}",2.559688,"{1, 2, 7, 8, 6, 3, 9, 10, 4, 5, 1}",2.559688,0.000000,0.032638
"{1, 2, 6, 8, 4, 10, 9, 3, 5, 7, 1}",2.826813,"{1, 7, 5, 3, 9, 10, 4, 8, 6, 2, 1}",2.826813,0.000000,0.032075
"{1, 9, 5, 4, 2, 10, 8, 3, 7, 6, 1}",3.019920,"{1, 9, 5, 4, 2, 10, 8, 3, 7, 6, 1}",3.019920,0.000000,0.032126
"{1, 7, 9, 2, 6, 8, 3, 5, 4, 10, 1}",2.804468,"{1, 7, 9, 2, 6, 8, 3, 5, 4, 10, 1}",2.804468,0.000000,0.032083
"{1, 8, 3, 10, 9, 6, 5, 4, 7, 2, 1}",2.467897,"{1, 2, 7, 4, 5, 6, 9, 10, 3, 8, 1}",2.467897,0.000000,0.032095
"{1, 5, 3, 10, 7, 8, 4, 9, 2, 6, 1}",2.903120,"{1, 5, 3, 10, 7, 8, 4, 9, 2, 6, 1}",2.903120,0.000000,0.033089
"{1, 8, 4, 7, 2, 10, 3, 9, 6, 5, 1}",3.148333,"{1, 5, 6, 9, 3, 10, 2, 7, 4, 8, 1}",3.148333,0.000000,0.032138
"{1, 2, 7, 6, 8, 10, 9, 3, 5, 4, 1}",2.612129,"{1, 4, 5, 3, 9, 10, 8, 6, 7, 2, 1}",2.612129,0.000000,0.032410
"{1, 7, 4, 10, 2, 3, 6, 9, 8, 5, 1}",2.970244,"{1, 5, 8, 9, 6, 3, 2, 10, 4, 7, 1}",2.970244,0.000000,0.032012
"{1, 6, 8, 3, 4, 5, 9, 2, 7, 10, 1}",2.750998,"{1, 10, 7, 2, 9, 5, 4, 3, 8, 6, 1}",2.750998,0.000000,0.032146
"{1, 10, 4, 3, 9, 5, 8, 7, 2, 6, 1}",3.211127,"{1, 10, 4, 3, 9, 5, 8, 7, 2, 6, 1}",3.211127,0.000000,0.032129
"{1, 10, 6, 4, 9, 5, 8, 3, 7, 2, 1}",2.305279,"{1, 2, 7, 3, 8, 5, 9, 4, 6, 10, 1}",2.305279,0.000000,0.032033
