optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 8, 19, 7, 11, 4, 13, 20, 10, 5, 15, 9, 18, 3, 6, 12, 14, 2, 16, 17, 1}",3.347795,"{1, 8, 19, 7, 11, 4, 13, 20, 10, 15, 9, 18, 3, 12, 14, 6, 5, 17, 16, 2, 1}",3.672838,0.097092,0.000061
"{1, 6, 17, 16, 8, 9, 5, 14, 18, 7, 2, 10, 4, 19, 13, 15, 12, 20, 3, 11, 1}",4.131330,"{1, 11, 3, 20, 12, 15, 6, 17, 16, 8, 5, 9, 14, 18, 2, 7, 10, 19, 13, 4, 1}",4.627378,0.120070,0.000054
"{1, 3, 13, 2, 9, 6, 11, 20, 19, 15, 8, 5, 4, 7, 14, 18, 17, 10, 12, 16, 1}",4.468433,"{1, 3, 13, 11, 6, 9, 2, 20, 8, 5, 4, 7, 14, 15, 19, 17, 16, 12, 10, 18, 1}",5.296672,0.185353,0.000053
"{1, 13, 14, 20, 5, 16, 11, 8, 10, 7, 9, 2, 15, 17, 19, 6, 12, 3, 4, 18, 1}",3.863744,"{1, 18, 4, 6, 19, 12, 3, 10, 8, 5, 20, 16, 11, 14, 13, 2, 9, 15, 17, 7, 1}",5.434325,0.406492,0.000052
"{1, 15, 18, 8, 3, 20, 6, 11, 14, 19, 17, 16, 4, 13, 9, 12, 5, 2, 10, 7, 1}",4.121216,"{1, 15, 3, 20, 18, 8, 6, 11, 14, 2, 10, 7, 5, 12, 9, 13, 4, 19, 17, 16, 1}",4.874023,0.182666,0.000052
"{1, 14, 4, 11, 9, 15, 16, 19, 3, 7, 5, 20, 2, 10, 18, 17, 8, 12, 13, 6, 1}",3.855716,"{1, 6, 14, 4, 11, 3, 7, 2, 20, 10, 18, 17, 8, 12, 13, 9, 16, 15, 19, 5, 1}",4.930984,0.278876,0.000052
"{1, 2, 19, 3, 8, 10, 17, 20, 15, 7, 18, 5, 9, 11, 16, 13, 14, 6, 12, 4, 1}",3.965355,"{1, 2, 4, 12, 6, 14, 13, 16, 17, 10, 8, 20, 15, 7, 18, 9, 5, 3, 19, 11, 1}",5.269147,0.328796,0.000052
"{1, 15, 11, 4, 19, 12, 5, 10, 14, 6, 8, 7, 13, 18, 9, 16, 2, 3, 20, 17, 1}",4.155659,"{1, 15, 11, 4, 19, 12, 5, 10, 14, 7, 18, 8, 6, 9, 16, 2, 3, 17, 20, 13, 1}",4.746270,0.142122,0.000052
"{1, 8, 16, 7, 15, 14, 3, 18, 17, 12, 9, 10, 11, 19, 5, 13, 20, 2, 4, 6, 1}",3.670597,"{1, 6, 8, 16, 7, 15, 14, 3, 17, 18, 12, 9, 19, 11, 5, 13, 4, 2, 20, 10, 1}",4.471744,0.218261,0.000052
"{1, 12, 7, 17, 20, 16, 18, 10, 5, 11, 15, 2, 4, 9, 8, 13, 14, 19, 3, 6, 1}",3.873764,"{1, 12, 6, 7, 17, 3, 19, 14, 13, 8, 4, 9, 2, 18, 10, 5, 15, 11, 16, 20, 1}",4.316180,0.114208,0.000051
"{1, 5, 3, 20, 13, 6, 16, 2, 15, 17, 19, 18, 8, 12, 4, 11, 14, 10, 7, 9, 1}",3.489861,"{1, 5, 9, 10, 7, 11, 14, 4, 12, 8, 18, 19, 17, 15, 2, 16, 13, 6, 3, 20, 1}",3.840440,0.100456,0.000052
"{1, 8, 18, 14, 3, 9, 11, 17, 12, 19, 4, 6, 20, 5, 13, 7, 10, 16, 2, 15, 1}",3.248856,"{1, 15, 2, 16, 10, 7, 13, 6, 20, 5, 11, 17, 9, 3, 14, 18, 12, 4, 19, 8, 1}",3.783366,0.164523,0.000051
"{1, 6, 15, 13, 7, 12, 14, 11, 20, 17, 2, 3, 19, 8, 16, 9, 4, 18, 10, 5, 1}",3.433903,"{1, 15, 6, 13, 7, 12, 11, 17, 20, 2, 3, 19, 16, 8, 9, 4, 18, 10, 5, 14, 1}",3.894979,0.134272,0.000051
"{1, 3, 20, 8, 12, 15, 5, 6, 14, 7, 13, 18, 10, 11, 16, 2, 17, 9, 19, 4, 1}",3.790550,"{1, 4, 19, 9, 17, 2, 16, 11, 10, 18, 13, 7, 14, 6, 5, 15, 12, 8, 20, 3, 1}",3.790550,0.000000,0.000051
"{1, 13, 16, 11, 2, 4, 17, 18, 6, 19, 8, 15, 3, 10, 5, 20, 14, 7, 9, 12, 1}",3.482195,"{1, 13, 16, 11, 2, 4, 17, 18, 15, 3, 8, 19, 6, 7, 10, 5, 14, 20, 12, 9, 1}",3.808964,0.093840,0.000052
"{1, 2, 18, 4, 16, 19, 5, 6, 13, 8, 15, 11, 9, 3, 7, 12, 14, 20, 10, 17, 1}",3.701658,"{1, 2, 16, 4, 18, 17, 10, 19, 5, 6, 11, 9, 15, 8, 13, 3, 7, 12, 14, 20, 1}",4.475115,0.208949,0.000051
"{1, 11, 12, 2, 10, 18, 6, 9, 4, 5, 20, 7, 14, 13, 8, 16, 19, 17, 3, 15, 1}",3.799545,"{1, 15, 3, 17, 19, 16, 8, 13, 14, 7, 20, 5, 9, 6, 10, 18, 12, 2, 11, 4, 1}",5.051025,0.329376,0.000051
"{1, 7, 17, 14, 16, 15, 6, 4, 18, 3, 20, 10, 5, 9, 12, 11, 19, 13, 2, 8, 1}",3.931634,"{1, 7, 17, 14, 6, 4, 18, 20, 3, 10, 5, 9, 12, 11, 19, 8, 2, 13, 16, 15, 1}",4.711298,0.198306,0.000051
"{1, 4, 19, 11, 20, 14, 17, 16, 18, 6, 7, 8, 9, 3, 10, 12, 2, 5, 13, 15, 1}",3.515931,"{1, 4, 19, 11, 8, 9, 3, 5, 13, 15, 12, 10, 2, 6, 7, 16, 18, 20, 17, 14, 1}",4.318726,0.228331,0.000051
"{1, 2, 12, 16, 13, 15, 11, 10, 9, 8, 14, 6, 19, 7, 4, 18, 5, 3, 20, 17, 1}",3.812864,"{1, 2, 12, 16, 13, 15, 11, 10, 9, 14, 6, 8, 7, 19, 4, 18, 5, 3, 20, 17, 1}",4.077204,0.069329,0.000052
"{1, 14, 9, 3, 8, 5, 16, 10, 11, 7, 6, 12, 17, 15, 4, 13, 20, 19, 18, 2, 1}",3.912581,"{1, 2, 18, 20, 19, 11, 10, 16, 5, 8, 3, 9, 14, 12, 6, 7, 15, 4, 17, 13, 1}",4.911630,0.255343,0.000051
"{1, 5, 11, 2, 4, 18, 12, 19, 15, 9, 16, 3, 6, 14, 20, 13, 17, 7, 8, 10, 1}",4.160736,"{1, 5, 11, 2, 19, 15, 9, 16, 14, 6, 3, 12, 18, 4, 8, 7, 20, 13, 17, 10, 1}",4.514761,0.085087,0.000051
"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,"{1, 19, 13, 2, 20, 15, 12, 7, 4, 17, 3, 5, 6, 9, 14, 10, 8, 18, 11, 16, 1}",5.115263,0.285532,0.000051
"{1, 13, 2, 14, 10, 17, 19, 4, 16, 9, 5, 3, 12, 6, 11, 20, 18, 15, 7, 8, 1}",4.780822,"{1, 17, 14, 10, 2, 13, 15, 7, 8, 16, 9, 5, 3, 12, 6, 11, 4, 19, 18, 20, 1}",6.016711,0.258510,0.000051
"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,"{1, 11, 10, 19, 14, 13, 16, 7, 15, 17, 12, 4, 18, 3, 2, 8, 5, 20, 6, 9, 1}",4.873427,0.194810,0.000052
"{1, 16, 20, 18, 4, 12, 19, 14, 17, 13, 6, 5, 8, 7, 2, 11, 9, 10, 15, 3, 1}",4.262625,"{1, 15, 3, 16, 10, 9, 11, 7, 2, 8, 5, 6, 13, 17, 14, 4, 18, 20, 12, 19, 1}",4.843546,0.136282,0.000051
"{1, 14, 19, 5, 8, 18, 17, 9, 16, 20, 10, 6, 13, 15, 7, 3, 11, 12, 2, 4, 1}",3.456365,"{1, 19, 8, 18, 17, 9, 14, 20, 10, 6, 13, 15, 3, 11, 12, 2, 4, 5, 16, 7, 1}",4.840246,0.400386,0.000053
"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,"{1, 15, 3, 16, 11, 17, 18, 10, 8, 20, 5, 14, 12, 13, 19, 6, 2, 7, 4, 9, 1}",4.330554,0.092371,0.000052
"{1, 17, 9, 10, 5, 18, 3, 13, 6, 19, 16, 8, 12, 7, 14, 11, 20, 15, 4, 2, 1}",4.004752,"{1, 2, 4, 15, 20, 7, 14, 11, 16, 19, 8, 12, 9, 10, 5, 18, 3, 13, 6, 17, 1}",4.459630,0.113585,0.000051
"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,"{1, 15, 3, 14, 9, 18, 17, 13, 6, 5, 8, 10, 12, 19, 20, 7, 16, 11, 4, 2, 1}",4.315620,0.276041,0.000052
"{1, 11, 19, 16, 18, 6, 14, 9, 13, 5, 12, 15, 3, 17, 4, 7, 20, 8, 10, 2, 1}",3.972566,"{1, 2, 10, 5, 12, 13, 14, 6, 18, 16, 19, 11, 8, 20, 7, 4, 17, 15, 3, 9, 1}",4.526165,0.139356,0.000052
"{1, 4, 14, 12, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 1}",4.439022,"{1, 4, 14, 12, 15, 7, 5, 19, 8, 20, 11, 9, 17, 3, 13, 18, 6, 10, 16, 2, 1}",4.687689,0.056018,0.000052
"{1, 13, 9, 11, 7, 6, 15, 2, 4, 18, 17, 5, 8, 19, 14, 12, 20, 10, 16, 3, 1}",3.491404,"{1, 3, 13, 9, 7, 6, 15, 2, 4, 18, 19, 14, 10, 16, 12, 20, 8, 5, 17, 11, 1}",4.425781,0.267622,0.000051
"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,"{1, 4, 5, 12, 17, 10, 2, 8, 16, 20, 7, 3, 9, 13, 6, 11, 19, 14, 18, 15, 1}",4.335319,0.096638,0.000061
