optimal_tour,optimal_tour_length,greedy_tour,greedy_tour_length,score,time
"{1, 9, 3, 2, 8, 7, 6, 4, 5, 10, 1}",2.626958,"{1, 10, 5, 4, 8, 2, 3, 7, 6, 9, 1}",2.927639,0.114460,0.000075
"{1, 5, 8, 6, 2, 9, 4, 7, 3, 10, 1}",2.690200,"{1, 10, 5, 6, 8, 2, 9, 4, 7, 3, 1}",2.943476,0.094148,0.000051
"{1, 5, 9, 2, 4, 3, 8, 7, 6, 10, 1}",3.281753,"{1, 6, 10, 7, 8, 2, 9, 4, 3, 5, 1}",3.625815,0.104841,0.000049
"{1, 5, 10, 8, 7, 9, 6, 4, 3, 2, 1}",2.662473,"{1, 8, 7, 2, 3, 4, 6, 9, 10, 5, 1}",3.189709,0.198025,0.000047
"{1, 10, 5, 4, 8, 2, 6, 7, 3, 9, 1}",3.285511,"{1, 7, 3, 9, 8, 2, 6, 4, 5, 10, 1}",3.335836,0.015317,0.000077
"{1, 10, 3, 9, 7, 4, 5, 2, 6, 8, 1}",2.587520,"{1, 8, 6, 2, 5, 4, 7, 9, 3, 10, 1}",2.587520,0.000000,0.000046
"{1, 2, 10, 3, 8, 9, 4, 6, 5, 7, 1}",2.816688,"{1, 10, 2, 6, 4, 5, 9, 8, 3, 7, 1}",3.048575,0.082326,0.000056
"{1, 3, 9, 4, 7, 5, 2, 10, 6, 8, 1}",2.894399,"{1, 7, 5, 10, 2, 6, 8, 9, 4, 3, 1}",3.024259,0.044866,0.000045
"{1, 5, 3, 4, 9, 8, 7, 10, 6, 2, 1}",2.768768,"{1, 5, 3, 4, 9, 8, 7, 10, 6, 2, 1}",2.768768,0.000000,0.000104
"{1, 4, 5, 8, 10, 2, 6, 3, 9, 7, 1}",2.643896,"{1, 9, 3, 6, 2, 10, 8, 4, 5, 7, 1}",2.870587,0.085741,0.000049
"{1, 7, 5, 8, 4, 6, 2, 10, 9, 3, 1}",2.554845,"{1, 7, 6, 5, 8, 4, 9, 3, 10, 2, 1}",2.878923,0.126848,0.000047
"{1, 6, 2, 8, 7, 9, 4, 3, 10, 5, 1}",3.425116,"{1, 5, 10, 6, 8, 2, 7, 3, 4, 9, 1}",3.561380,0.039784,0.000055
"{1, 7, 4, 2, 5, 3, 6, 8, 10, 9, 1}",1.910333,"{1, 7, 4, 10, 9, 8, 6, 3, 5, 2, 1}",2.144512,0.122585,0.000046
"{1, 2, 6, 8, 7, 3, 9, 10, 4, 5, 1}",3.305425,"{1, 2, 4, 7, 3, 9, 10, 6, 8, 5, 1}",4.060456,0.228422,0.000047
"{1, 2, 5, 7, 6, 10, 4, 8, 9, 3, 1}",2.900715,"{1, 3, 9, 8, 4, 10, 6, 5, 7, 2, 1}",2.954855,0.018665,0.000046
"{1, 9, 2, 8, 3, 6, 10, 7, 4, 5, 1}",3.159194,"{1, 5, 4, 7, 10, 6, 3, 8, 2, 9, 1}",3.159194,0.000000,0.000047
"{1, 8, 7, 3, 10, 6, 5, 4, 9, 2, 1}",2.485104,"{1, 2, 4, 9, 5, 6, 10, 3, 7, 8, 1}",2.535803,0.020401,0.000044
"{1, 3, 2, 6, 4, 8, 10, 9, 5, 7, 1}",2.246422,"{1, 3, 2, 6, 8, 9, 10, 5, 7, 4, 1}",2.515586,0.119819,0.000048
"{1, 4, 2, 5, 3, 8, 6, 9, 7, 10, 1}",3.416027,"{1, 10, 9, 6, 8, 5, 3, 2, 4, 7, 1}",4.147851,0.214233,0.000049
"{1, 5, 10, 7, 2, 6, 8, 4, 3, 9, 1}",3.392541,"{1, 5, 7, 2, 4, 6, 8, 3, 9, 10, 1}",3.995921,0.177855,0.000050
"{1, 4, 5, 2, 10, 6, 7, 3, 8, 9, 1}",3.085914,"{1, 4, 5, 2, 10, 6, 8, 3, 7, 9, 1}",3.225216,0.045141,0.000047
"{1, 6, 7, 3, 8, 2, 4, 10, 9, 5, 1}",3.112684,"{1, 6, 7, 2, 8, 3, 4, 10, 9, 5, 1}",3.171881,0.019018,0.000047
"{1, 4, 8, 3, 5, 2, 10, 6, 9, 7, 1}",2.314986,"{1, 7, 4, 8, 3, 9, 6, 10, 2, 5, 1}",2.423436,0.046847,0.000049
"{1, 10, 7, 3, 9, 4, 8, 6, 5, 2, 1}",3.312083,"{1, 7, 5, 2, 8, 4, 3, 9, 6, 10, 1}",4.004454,0.209044,0.000047
"{1, 10, 5, 6, 7, 9, 3, 4, 8, 2, 1}",2.585382,"{1, 2, 8, 3, 9, 4, 7, 6, 5, 10, 1}",2.669916,0.032697,0.000047
"{1, 7, 3, 2, 4, 6, 10, 5, 8, 9, 1}",2.872292,"{1, 9, 2, 4, 6, 10, 5, 3, 7, 8, 1}",3.114185,0.084216,0.000046
"{1, 7, 5, 8, 10, 9, 2, 3, 6, 4, 1}",2.480695,"{1, 9, 2, 3, 4, 6, 7, 5, 8, 10, 1}",2.885925,0.163354,0.000047
"{1, 9, 2, 10, 8, 3, 4, 5, 6, 7, 1}",3.017211,"{1, 6, 7, 4, 5, 3, 8, 10, 2, 9, 1}",3.246495,0.075992,0.000047
"{1, 4, 2, 5, 10, 6, 9, 7, 3, 8, 1}",3.403691,"{1, 8, 3, 7, 10, 5, 6, 9, 2, 4, 1}",3.542395,0.040751,0.000047
"{1, 4, 2, 7, 8, 5, 3, 10, 6, 9, 1}",2.884081,"{1, 9, 6, 2, 7, 3, 10, 5, 8, 4, 1}",3.264080,0.131757,0.000047
"{1, 3, 7, 10, 6, 4, 8, 5, 9, 2, 1}",2.849122,"{1, 2, 8, 6, 10, 4, 5, 9, 7, 3, 1}",3.223502,0.131402,0.000049
"{1, 4, 6, 7, 3, 2, 8, 10, 5, 9, 1}",2.662141,"{1, 4, 7, 6, 3, 2, 9, 10, 5, 8, 1}",2.903008,0.090479,0.000048
"{1, 3, 7, 4, 2, 10, 5, 8, 6, 9, 1}",3.106187,"{1, 9, 6, 8, 5, 10, 2, 4, 7, 3, 1}",3.106187,0.000000,0.000045
"{1, 6, 2, 5, 10, 8, 3, 7, 9, 4, 1}",2.367522,"{1, 4, 9, 7, 10, 8, 3, 5, 2, 6, 1}",2.520194,0.064486,0.000047
"{1, 7, 2, 9, 8, 6, 4, 5, 3, 10, 1}",3.045950,"{1, 10, 5, 3, 4, 6, 8, 9, 7, 2, 1}",3.168775,0.040324,0.000046
"{1, 10, 4, 3, 2, 5, 6, 7, 9, 8, 1}",2.587924,"{1, 8, 9, 7, 6, 5, 10, 4, 3, 2, 1}",3.023625,0.168359,0.000046
"{1, 6, 7, 9, 10, 2, 5, 8, 3, 4, 1}",3.743237,"{1, 4, 9, 6, 7, 2, 5, 10, 3, 8, 1}",3.917568,0.046572,0.000047
"{1, 8, 10, 7, 9, 4, 3, 2, 6, 5, 1}",3.135972,"{1, 8, 10, 7, 9, 4, 3, 2, 6, 5, 1}",3.135972,0.000000,0.000046
"{1, 5, 7, 10, 2, 9, 4, 8, 6, 3, 1}",2.303661,"{1, 3, 6, 8, 4, 9, 2, 7, 10, 5, 1}",2.497742,0.084249,0.000046
"{1, 6, 2, 10, 5, 7, 8, 3, 4, 9, 1}",3.109025,"{1, 6, 2, 10, 5, 7, 8, 3, 4, 9, 1}",3.109025,0.000000,0.000057
"{1, 2, 3, 9, 7, 5, 8, 10, 4, 6, 1}",2.837561,"{1, 3, 2, 9, 7, 5, 8, 10, 4, 6, 1}",2.903924,0.023387,0.000047
"{1, 5, 8, 10, 3, 9, 6, 7, 4, 2, 1}",3.007583,"{1, 2, 5, 8, 10, 3, 9, 6, 4, 7, 1}",3.047391,0.013236,0.000048
"{1, 9, 3, 8, 4, 10, 2, 6, 7, 5, 1}",2.624140,"{1, 3, 9, 8, 4, 2, 6, 7, 5, 10, 1}",3.414444,0.301167,0.000047
"{1, 9, 4, 8, 6, 2, 3, 10, 7, 5, 1}",2.531933,"{1, 9, 8, 4, 6, 2, 10, 7, 5, 3, 1}",2.798721,0.105369,0.000047
"{1, 10, 5, 6, 3, 9, 7, 8, 2, 4, 1}",2.656223,"{1, 10, 5, 6, 3, 9, 7, 8, 2, 4, 1}",2.656223,0.000000,0.000045
"{1, 5, 4, 10, 9, 3, 6, 8, 7, 2, 1}",2.559688,"{1, 2, 7, 8, 3, 6, 9, 10, 4, 5, 1}",2.562193,0.000979,0.000045
"{1, 2, 6, 8, 4, 10, 9, 3, 5, 7, 1}",2.826813,"{1, 2, 6, 8, 4, 7, 9, 10, 3, 5, 1}",3.428954,0.213011,0.000046
"{1, 9, 5, 4, 2, 10, 8, 3, 7, 6, 1}",3.019920,"{1, 6, 9, 5, 4, 2, 10, 8, 3, 7, 1}",3.105442,0.028319,0.000046
"{1, 7, 9, 2, 6, 8, 3, 5, 4, 10, 1}",2.804468,"{1, 10, 4, 3, 5, 8, 6, 2, 9, 7, 1}",2.845087,0.014483,0.000044
"{1, 8, 3, 10, 9, 6, 5, 4, 7, 2, 1}",2.467897,"{1, 8, 3, 2, 6, 5, 4, 7, 10, 9, 1}",3.181152,0.289013,0.000047
"{1, 5, 3, 10, 7, 8, 4, 9, 2, 6, 1}",2.903120,"{1, 6, 2, 8, 4, 9, 7, 10, 3, 5, 1}",3.091219,0.064792,0.000046
"{1, 8, 4, 7, 2, 10, 3, 9, 6, 5, 1}",3.148333,"{1, 6, 5, 9, 3, 10, 2, 7, 4, 8, 1}",3.164194,0.005038,0.000045
"{1, 2, 7, 6, 8, 10, 9, 3, 5, 4, 1}",2.612129,"{1, 4, 2, 7, 6, 8, 10, 9, 3, 5, 1}",2.642469,0.011615,0.000053
"{1, 7, 4, 10, 2, 3, 6, 9, 8, 5, 1}",2.970244,"{1, 5, 8, 9, 6, 3, 2, 10, 4, 7, 1}",2.970244,0.000000,0.000046
"{1, 6, 8, 3, 4, 5, 9, 2, 7, 10, 1}",2.750998,"{1, 10, 7, 8, 6, 3, 4, 9, 2, 5, 1}",2.962912,0.077031,0.000057
